"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 26 11:44:36 BDT 2023","Tue Sep 26 11:44:40 BDT 2023","3082","","Operation UI Automation","","","","Profile, Website Setting ",""
"passed","Tue Sep 26 11:41:53 BDT 2023","Tue Sep 26 11:41:55 BDT 2023","1569","","Operation UI Automation","","","","Mail Config UI Of Configuration",""
"passed","Tue Sep 26 11:39:03 BDT 2023","Tue Sep 26 11:39:18 BDT 2023","14684","","Find Elements::","","","","Should Generate Link Text from a website:",""
"broken","Tue Sep 26 11:38:18 BDT 2023","Tue Sep 26 11:38:57 BDT 2023","39378","","Check Business site Home Page All Component and Button Functionality","","","","home page functionality check",""
"passed","Wed Sep 27 11:41:08 BDT 2023","Wed Sep 27 11:41:16 BDT 2023","7619","","Sites automation","","","","Sites, Media Library automation",""
"broken","Wed Sep 27 11:45:02 BDT 2023","Wed Sep 27 11:45:37 BDT 2023","35324","","Check Business site Home Page All Component and Button Functionality","","","","home page functionality check",""
"passed","Tue Sep 26 11:42:25 BDT 2023","Tue Sep 26 11:42:44 BDT 2023","19070","","UI testing with registration","","","","UI testing with registration",""
"passed","Tue Sep 26 11:32:22 BDT 2023","Tue Sep 26 11:32:51 BDT 2023","28773","","registration with subscription","","","","registration",""
"passed","Tue Sep 26 11:36:12 BDT 2023","Tue Sep 26 11:36:24 BDT 2023","12247","","Blog Post Test","","","","Blog Tag Create and UI Check",""
"passed","Tue Sep 26 11:35:09 BDT 2023","Tue Sep 26 11:35:54 BDT 2023","44661","","all configuration check","","","","configuration automate",""
"passed","Tue Sep 26 12:03:21 BDT 2023","Tue Sep 26 12:03:34 BDT 2023","13002","","Sites automation","","","","Sites, Menu Set automation",""
"passed","Tue Sep 26 12:02:18 BDT 2023","Tue Sep 26 12:02:54 BDT 2023","36464","","Sites automation","","","","Sites, Page automation",""
"broken","Tue Sep 26 11:32:56 BDT 2023","Tue Sep 26 11:33:07 BDT 2023","11041","","registration field fill up","","","","registration field input",""
"passed","Tue Sep 26 11:44:22 BDT 2023","Tue Sep 26 11:44:27 BDT 2023","5020","","Operation UI Automation","","","","""before all"" hook for Operation UI Automation",""
"passed","Tue Sep 26 12:02:10 BDT 2023","Tue Sep 26 12:02:18 BDT 2023","7402","","Sites automation","","","","""before all"" hook for Sites automation",""
"broken","Wed Sep 27 11:40:08 BDT 2023","Wed Sep 27 11:41:08 BDT 2023","60018","","Sites automation","","","","Sites, Menu Set automation",""
